input,output
00001000,10000
00001100,11000
00000001,00010
00001001,10010
00001011,10110
00001111,11110
10001000,01000
10000100,11000
10000010,10100
10001010,01100
10000110,11100
10001110,00010
10000001,10010
10001001,01010
10001011,01110
10000111,11110
01000000,01000
01001000,11000
01000100,00100
01001100,10100
01000010,01100
01001010,11100
01000110,00010
01001101,10110
01001111,10001
11000000,11000
11001100,01100
11000010,11100
11000110,10010
11001001,00110
11000011,11110
11000111,10001
11001111,01001
00100010,00010
00101010,10010
00100110,01010
00101110,11010
00100101,01110
00101111,11001
10100000,10100
10100100,11100
10101100,00010
10100001,10110
10100101,11110
10101101,00001
10101011,01001
01101000,11100
01100010,01010
01101010,11010
01100101,00001
01101101,10001
01100011,01001
11100000,11100
11100010,11010
11101010,00110
11100001,11110
11101001,00001
11100101,10001
11101011,00101
11101111,01101
00010000,00010
00010100,01010
00010010,00110
00011010,10110
00010110,01110
00011001,10001
00011101,11001
10011100,00110
10011010,01110
10011110,00001
10010001,10001
10011101,00101
10010011,10101
10011111,00011
01010000,01010
01010100,00110
01010010,01110
01010001,01001
01011001,11001
01010101,00101
01011101,10101
01011011,11101
01011111,10011
11010100,10110
11010010,11110
11011010,00001
11011110,01001
11010001,11001
11010101,10101
11010011,11101
11010111,10011
00110000,00110
00111000,10110
00111100,11110
00110010,00001
00111110,11001
00111101,11101
00110011,00011
00111011,10011
00111111,11011
10110000,10110
10111000,01110
10110100,11110
10110010,10001
10110110,11001
10110011,10011
01110110,00101
01111110,10101
01111001,11101
01110101,00011
01111101,10011
01110011,01011
01111011,11011
11110000,11110
11111100,01001
11110010,11001
11111110,01101
11110101,10011
11111101,01011
11111011,00111
