input,output
00001000,00000000
00001100,00000000
00000001,00000000
00001001,00000000
00001011,00000000
00001111,00000000
10001000,10000000
10000100,01000000
10000010,00100000
10001010,10100000
10000110,01100000
10001110,11100000
10000001,00010000
10001001,10010000
10001011,10110000
10000111,01110000
01000000,00000000
01001000,01000000
01000100,00100000
01001100,01100000
01000010,00010000
01001010,01010000
01000110,00110000
01001101,01101000
01001111,01111000
11000000,00000000
11001100,10010000
11000010,00110000
11000110,01001000
11001001,11011000
11000011,00100100
11000111,01010100
11001111,10110100
00100010,00001000
00101010,00101000
00100110,00011000
00101110,00111000
00100101,00010100
00101111,00111100
10100000,00000000
10100100,01010000
10101100,11110000
10100001,00010100
10100101,01001100
10101101,11101100
10101011,10000010
01101000,01100000
01100010,00011000
01101010,01111000
01100101,00111100
01101101,01000010
01100011,00010010
11100000,00000000
11100010,00111000
11101010,11000100
11100001,00011100
11101001,11111100
11100101,01100010
11101011,11011010
11101111,10010110
00010000,00000000
00010100,00001000
00010010,00000100
00011010,00010100
00010110,00001100
00011001,00010010
00011101,00011010
10011100,11011000
10011010,10110100
10011110,11111100
10010001,00010010
10011101,11000110
10010011,00110110
10011111,11100001
01010000,00000000
01010100,00101000
01010010,00010100
01010001,00001010
01011001,01011010
01010101,00100110
01011101,01110110
01011011,01000001
01011111,01101001
11010100,01101000
11010010,00110100
11011010,11101100
11011110,10110010
11010001,00011010
11010101,01110110
11010011,00100001
11010111,01011001
00110000,00000000
00111000,00110000
00111100,00100100
00110010,00001100
00111110,00101010
00111101,00100001
00110011,00001001
00111011,00111001
00111111,00101101
10110000,00000000
10111000,10110000
10110100,01011000
10110010,00101100
10110110,01110010
10110011,00111001
01110110,00101010
01111110,01000110
01111001,01111110
01110101,00110001
01111101,01011001
01110011,00010101
01111011,01101101
11110000,00000000
11111100,10110100
11110010,00111100
11111110,10010110
11110101,01101001
11111101,10100101
11111011,11000011
